Name,Stage,Parent,Base Class,Promotions,Power Core Ability,Strength,Intelligence,Wisdom,Constitution,Charisma,Dexterity,Attack,Defense,Magic,Magic Defense,Weapons,Off Hands,Armor,Helmets,Starting Equipment,Description
Shadowcaster,Second Promotion,Warlock,Mage,,Shade of Ahool,0,3,2,1,0,1,1,1,5,3,Dagger; Staff,Tome,Cloth,Cloth,,"The Shadowcaster is highly attuned to the dark arts and can conjure the most demonic of powers, including the practicing of forbidden blood magic."
Thaumaturgist,Second Promotion,Conjurer,Mage,,Eternal Conduit,0,3,3,0,4,1,0,1,5,5,Dagger; Staff,Tome,Cloth,Cloth,,"The Thaumaturgist perfects seven Xenid Callings, strengthening those permanent bonds with invocations, Miracles, revival, and conduit rites."
Wizard,Second Promotion,Sorcerer,Mage,,Spell Mastery,0,3,2,0,1,1,0,1,5,4,Dagger; Staff,Tome,Cloth,Cloth,,"The Wizard is a master of arcane magic, unparalleled in their magical ability. Being able to cast the most powerful spells makes the wizard an ideal class for anyone who prefers to live fast and die hard if not properly prepared."
Pathfinder,Base,,Pathfinder,Druid; Diviner; Shaman; Ranger,,0,1,1,1,1,1,1,1,2,2,Dagger; Club; Polearm; Hammer; Staff,Shield; Tome,Cloth; Light; Medium,Cloth; Light; Medium,Weapon: Dirk; OffHand: Buckler; Armor: Hide Armor,"In philosophy, naturalism is the belief that only natural laws and forces operate in the universe. A pathfinder embraces this idea by being attuned to one or more of the various aspects of nature, mainly the 4 classical elements: Earth, Wind, Water, and Fire."
Diviner,First Promotion,Pathfinder,Pathfinder,Astromancer,,0,2,2,1,1,0,0,1,4,3,Dagger; Staff,Rod,Cloth,Cloth,,"A diviner works with nature to balance the four classical elements of Earth, Wind, Water, and Fire, and permanently learn explicitly ranked hostile spells they witness resolving. Diviners are also hyper aware of their surroundings, limiting the effect of traps and magic effects."
Druid,First Promotion,Pathfinder,Pathfinder,Lycan; Archdruid,,1,1,1,1,1,1,2,2,2,2,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,,"Druids act as an extension of nature to call upon the elemental forces, embodying nature's wrath and mystique. This attunement with nature allows druids to emulate creatures of the animal world, transforming into persistent Panther and Direbear forms with their native traits and selected compatible skills. They lose the ability to wear medium armor and shields but gain natural weapons and armor when transformed."
Ranger,First Promotion,Pathfinder,Pathfinder,Beast Master,,2,0,0,1,1,2,3,2,1,2,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light; Medium,Light; Medium,,"Rangers blend their deep wilderness expertise with fierce melee combat capabilities. Skilled in tracking and survival, they excel in close-quarters combat using precision and agility. Their true strength lies in their ability to tame and command powerful animals, forging bonds with beasts to fight alongside them. Rangers leverage their primal connection to nature and combat mastery, creating a formidable duo of human and beast."
Shaman,First Promotion,Pathfinder,Pathfinder,Soulcatcher,,1,0,1,1,1,2,3,1,2,2,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,,"The Shaman is a master of the natural elements, channeling the raw forces of fire, water, earth, and air to devastate their enemies. By imbuing weapons with elemental fury, they transform mundane strikes into catastrophic blows. As warriors of nature, they bring balance to the battlefield, wielding power both destructive and enhancing."
Archdruid,Second Promotion,Druid,Pathfinder,,Primal Ascendance,0,3,2,1,0,1,1,2,4,3,Dagger; Staff,Tome,Cloth,Cloth,,"The Archdruid is the ultimate embodiment of nature's power, a legendary figure who has mastered the ways of the natural world."
Astromancer,Second Promotion,Diviner,Pathfinder,,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design."
Beast Master,Second Promotion,Ranger,Pathfinder,,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength."
Lycan,Second Promotion,Druid,Pathfinder,,Lunar Frenzy,1,0,1,2,1,2,3,2,2,3,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,,Lycans coexist with a persistent Werewolf form whose Moon-driven stress becomes more controllable through successful play. Dragon Essence adds Winged Pounce without replacing the beast-self.
Soulcatcher,Second Promotion,Shaman,Pathfinder,,Soul Harvest,2,0,1,1,1,2,3,2,2,3,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,,"The Soulcatcher is a mystic who has mastered the art of binding spirits and harnessing their power. As a promotion of the Shaman, they wield unparalleled control over elemental and spiritual energies, weaving them into devastating attacks or protective barriers. By capturing the essence of defeated foes, the Soulcatcher can unleash soul-charged magic upon enemies. Their deep connection to the spirit world grants them unique insight and power, making them both revered and feared on the battlefield."
Warrior,Base,,Warrior,Weapon Master; Paladin; Lancer; Sentinel,,2,0,0,2,0,1,3,2,0,1,Dagger; Sword; Club; Longsword; Battle Axe; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,Weapon: Rapier; OffHand: Aspis; Armor: Hide Armor,"Warriors are weapon specialists that rely on strength and defense. While unable to cast spells, they have access to a wide variety of combat skills that make them deadly in combat. The most stout of the bass classes, this character is best for someone who wants to hack and slash their way through the game."
Lancer,First Promotion,Warrior,Warrior,Dragoon,,2,0,0,2,1,1,3,3,0,2,Sword; Polearm,Shield,Medium; Heavy,Medium; Heavy,,Lancers are typically more at home on the back of a horse but one benefit this affords is the skill to wield a two-handed polearm while also using a shield. They are also adept at leaping high into the air and driving that polearm into their enemies.
Paladin,First Promotion,Warrior,Warrior,Crusader,,1,0,2,2,1,0,2,2,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,,"The Paladin is a holy knight, crusading in the name of good and order. Gaining some healing and damage spells, paladins become a more balanced class and are ideal for players who always forget to restock health potions."
Sentinel,First Promotion,Warrior,Warrior,Stalwart Defender,,2,0,0,3,0,1,1,4,0,3,Fist; Sword; Club,Shield,Heavy,Heavy,,"Masters of defensive tactics, Sentinels excel at enduring heavy assaults. Equipped with impenetrable shields and an array of defensive skills, this class specializes in mitigating damage, taunting enemies, and bolstering their resilience. Their unique abilities allow them to reflect enemy strikes and maintain a near-impervious stance against even the fiercest foes."
Weapon Master,First Promotion,Warrior,Warrior,Berserker; Grandmaster of Arms,,2,1,0,1,0,2,4,2,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,,"Weapon Masters focus on disciplined weapon technique. They can pursue forceful two-handed attacks, specialize in dual wielding, or perfect one-handed dueling. Since Weapon Masters rely on agility, they lose the ability to wear heavy armor and shields."
Berserker,Second Promotion,Weapon Master,Warrior,,Blood Rage,3,0,0,1,1,2,5,2,0,3,Longsword; Battle Axe; Polearm; Hammer,Longsword; Battle Axe; Polearm; Hammer,Light,Light,,"Berserkers are combat masters, driven by pure rage and vengeance. Their strength is so great, they gain the ability to dual wield two-handed weapons. Their further reliance on maneuverability limits the type of armor to light armor."
Crusader,Second Promotion,Paladin,Warrior,,Divine Aegis,2,0,2,2,1,0,3,3,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,,"The Crusader is a holy warrior, who values order and justice above all else. Crusaders continue the path of the paladin, fully embracing all aspects that carry over."
Dragoon,Second Promotion,Lancer,Warrior,,Draconic Onslaught,2,0,0,2,1,2,4,3,0,3,Sword; Polearm,Shield,Heavy,Heavy,,"Masters of spears, lances, and polearms and gifted with supernatural abilities, Dragoons have become legendary for their grace and power. Their intense training, said to have been passed down by the dragon riders of old, allows these warriors to leap unnaturally high into the air and strike their foes with deadly force from above."
Grandmaster of Arms,Second Promotion,Weapon Master,Warrior,,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill."
Stalwart Defender,Second Promotion,Sentinel,Warrior,,Shield Mastery,2,0,0,4,0,1,2,5,0,4,Fist; Sword; Club,Shield,Heavy,Heavy,,"The Stalwart Defender embodies unyielding resilience and unmatched defensive mastery. These protectors are immovable bastions, capable of absorbing devastating blows and locking down enemies at will. With impenetrable defenses and a commanding presence, they are the epitome of strength and fortitude."
