Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.invisibility,Stealth,3,1,ability,Invisibility,1,65,ninja.ability.haste,Fade from sight for surprise and defense.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.silentwalking,Stealth,3,2,ability,Silent Walking,1,70,ninja.ability.invisibility,Halve random encounters for 50 exploration steps.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.alacrity,Stealth,3,3,ability,Alacrity,1,75,ninja.ability.silentwalking,"While invisible, increase Speed by 25%."
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.shadowevasion,Stealth,3,4,ability,Shadow Evasion,1,80,ninja.ability.alacrity,Passive: Retains dodge briefly after concealment breaks.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.ghoststep,Stealth,3,5,ability,Ghost Step,2,85,ninja.ability.shadowevasion,"Passive: Once per combat, a dodge or parry restores concealment."
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.parry,Defense,4,0,ability,Parry,1,,,Passive: Chance to deflect some or all damage from an incoming melee attack. Cannot Parry while wielding a shield.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.riposte,Defense,4,1,ability,Riposte,1,65,ninja.ability.parry,Passive: Chance to make an automatic main-hand counterattack after a successful Parry.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.quickstep,Defense,4,2,ability,Quickstep,1,70,ninja.ability.riposte,"You fight light on your feet, improving your ability to evade attacks."
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.evasiveguard,Defense,4,3,ability,Evasive Guard,1,75,ninja.ability.quickstep,"Each time you are hit, you learn and reduce future damage (stacks up to 3). Stacks reset when you dodge an attack."
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.shadowcounter,Defense,4,4,ability,Shadow Counter,1,80,ninja.ability.evasiveguard,Passive: A Riposte after parrying gains accuracy and damage.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.untouchable,Defense,4,5,ability,Untouchable,2,85,ninja.ability.shadowcounter,"Passive: Once per combat, reroll a failed weapon avoidance."
