Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.parry,Vanguard,1,3,ability,Parry,1,75,templar.ability.shield-slam,Passive: Chance to deflect some or all damage from an incoming melee attack. Cannot Parry while wielding a shield.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.piercing-strike,Vanguard,1,4,ability,Piercing Strike,1,80,templar.ability.parry,"Pierces the enemy's defenses, ignoring armor and defenses."
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.double-strike,Vanguard,1,5,ability,Double Strike,1,85,templar.ability.piercing-strike,Strike the enemy twice in rapid succession.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.true-piercing-strike,Vanguard,1,6,ability,True Piercing Strike,1,90,templar.ability.double-strike,"Attack that is guaranteed to hit and that pierces the enemy's defenses, ignoring armor and defenses but reduces weapon damage."
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.smite-3,Sacred Rites,2,0,ability,Smite III,1,,,"The power of light rebukes the enemy, adding bonus holy damage to a successful main-hand attack roll and dealing additional damage to Undead and Fiends."
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.regen-2,Sacred Rites,2,2,ability,Regen II,1,70,templar.ability.smite-3,"Cooling waters stimulate your natural healing ability, regenerating health over time."
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.bless,Sacred Rites,2,3,ability,Bless,1,75,templar.ability.regen-2,"A prayer is spoken, bestowing a mighty blessing upon the caster's weapon, increasing melee damage."
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.dispel,Sacred Rites,2,4,ability,Dispel,1,80,templar.ability.bless,"Cast an anti-magic spell on your foe, removing any positive status effects."
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.devotional-rebuke,Judgment,3,0,ability,Devotional Rebuke,1,,,Strike for normal weapon damage and add a Wisdom-scaled Holy rebuke.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.talent.exacting-judgment,Judgment,3,1,talent,Exacting Judgment,1,65,templar.ability.devotional-rebuke,Devotional Rebuke deals 25% more Holy damage.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.true-strike,Judgment,3,2,ability,True Strike,1,70,templar.talent.exacting-judgment,Attack that is guaranteed to hit at the cost of damage.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.holy-2,Judgment,3,3,ability,Holy II,1,75,templar.ability.true-strike,"The enemy is bathed in a holy light, cleansing it of evil. There is a chance on critical hit that the target will be blinded for a duration."
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.turn-undead-2,Judgment,3,4,ability,Turn Undead II,1,80,templar.ability.holy-2,A holy chant is recited with a chance to banish any nearby undead from existence.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.cleanse,Judgment,3,5,ability,Cleanse,1,85,templar.ability.turn-undead-2,You feel all ailments leave your body like a draught of panacea.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.bastion-prayer,Judgment,3,6,ability,Bastion Prayer,1,90,templar.ability.cleanse,Spend one Devotion to raise Defense and Magic Defense for three turns.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.talent.ordered-purpose,Ordered Blessings,4,1,talent,Ordered Purpose,2,65,templar.ability.smite-3,Awakened Ordered Blessings are 25% stronger and last one additional turn.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.talent.liturgical-renewal,Ordered Blessings,4,5,talent,Liturgical Renewal,1,85,templar.ability.dispel,An awakened Ordered Blessing restores one MP per Devotion spent.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.talent.perfect-order,Ordered Blessings,4,6,talent,Perfect Order,1,90,templar.ability.dispel,Awakened Ordered Blessings also raise Magic Defense while active.
