Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.ability.mana-shield-2,Great Gospel,1,3,ability,Mana Shield II,1,75,archbishop.ability.silence,Toggle an enhanced mana shield that redirects up to 50% of each physical attack's damage into your mana pool.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.first-words,Great Gospel,1,4,talent,First Words,1,80,archbishop.ability.mana-shield-2,The first qualifying Prayer source from zero grants one additional Prayer.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.opening-gospel,Great Gospel,1,6,talent,Opening Gospel,1,90,archbishop.talent.first-words,Great Gospel raises Prayer to at least 75% of capacity instead of half.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.ability.heal-3,Intervention,2,0,ability,Heal III,1,,,A glowing light envelopes your body and heals you for a percentage of the target's health.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.ability.resurrection,Intervention,2,1,ability,Resurrection,2,65,archbishop.ability.heal-3,The ultimate boon bestowed upon only the chosen few. Life returns where it once left.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.ability.expel-curse,Intervention,2,2,ability,Expel Curse,1,70,archbishop.ability.resurrection,Remove all persistent curses from the target.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.swift-exorcism,Intervention,2,6,talent,Swift Exorcism,1,90,archbishop.ability.expel-curse,Reduce Expel Curse's MP cost by six.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.ability.regen-3,Sustaining Grace,3,0,ability,Regen III,1,,,"Cooling waters stimulate your natural healing ability, regenerating health over time."
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.enduring-invigoration,Sustaining Grace,3,1,talent,Enduring Invigoration,1,65,archbishop.ability.regen-3,Magical Invigoration stacks last one additional turn.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.radiant-renewal,Sustaining Grace,3,2,talent,Radiant Renewal,1,70,archbishop.talent.enduring-invigoration,Magical Invigoration stacks grant two additional Magic.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.unshaken-congregation,Sustaining Grace,3,3,talent,Unshaken Congregation,1,75,archbishop.talent.radiant-renewal,Great Benediction gains two percentage points more status resistance per Prayer.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.protective-liturgy,Sustaining Grace,3,5,talent,Protective Liturgy,1,85,archbishop.talent.unshaken-congregation,Great Benediction prevents an additional half percentage point of damage per Prayer.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.abundant-mercy,Perfect Supplication,4,0,talent,Abundant Mercy,1,,,Supplication's healing scaling increases by 20%.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.sheltering-word,Perfect Supplication,4,1,talent,Sheltering Word,1,65,archbishop.talent.abundant-mercy,Supplication grants eight ward points per Prayer instead of six.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.purifying-word,Perfect Supplication,4,2,talent,Purifying Word,1,70,archbishop.talent.sheltering-word,Supplication gains 20 percentage points of cleanse chance.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.endless-supplication,Perfect Supplication,4,3,talent,Endless Supplication,1,75,archbishop.talent.purifying-word,Supplication restores one Prayer after resolving.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.overwhelming-light,Perfect Supplication,4,5,talent,Overwhelming Light,1,85,archbishop.talent.endless-supplication,Dazed or Confused's secondary confusion chance rises to 40%.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.assured-intervention,Divine Intervention,5,3,talent,Assured Intervention,1,75,archbishop.ability.expel-curse,Awakened Divine Intervention's rescue chance rises from 35% to 50%.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.miraculous-recovery,Divine Intervention,5,4,talent,Miraculous Recovery,1,80,archbishop.ability.expel-curse,Successful awakened Divine Intervention restores 35% maximum HP instead of 25%.
