Name,Class ID,Type,Subtype,Value,Rarity,Weight,Damage,Critical Chance,Hands,Offhand Eligible,Armor,Modifier,Element,Restricted To,Restricted Against,Ultimate,Random Drop,Unequipped,Description
Elemental Amulet,ElementalAmulet,Accessory,Pendant,100000,0.05,0.2,,,,,,Immune-Elemental,,,,False,True,False,"Legend claims the jewel of this amulet is actually the heart of a god, still turning with every color of creation."
Elemental Chain,ElementalChain,Accessory,Pendant,15000,0.4,0.2,,,,,,Resist-Elemental,,,,False,True,False,"Fashioned from the cores of elementals, this necklace shifts color as nearby magic changes shape."
Fire Amulet,FireAmulet,Accessory,Pendant,40000,0.2,0.2,,,,,,Immune-Fire,,,,False,True,False,An amulet with a ruby heart that burns like a banked coal.
Fire Chain,FireChain,Accessory,Pendant,8000,0.6,0.2,,,,,,Resist-Fire,,,,False,True,False,A necklace set with a warm ember-stone that glows brighter near open flame.
Garfunkel Pendant,GarfunkelPendant,Accessory,Pendant,23000,0.3,0.2,,,,,,Status-Silence,,,,False,True,False,The Sound of Silence can be deafening but not with this necklace.
Gold Necklace,GoldNecklace,Accessory,Pendant,22000,0.4,0.2,,,,,,+20 Magic Damage,,,,False,True,False,A gold-chained necklace that greatly improves the wearer's magic damage.
Gorgon Pendant,GorgonPendant,Accessory,Pendant,20000,0.4,0.2,,,,,,Status-Stone,,,,False,True,False,"Made from the scale of a Gorgon, this ring protects the wearer against petrification."
Ice Amulet,IceAmulet,Accessory,Pendant,40000,0.2,0.2,,,,,,Immune-Ice,,,,False,True,False,An amulet with a frost-white gem that leaves a chill on the skin.
Ice Chain,IceChain,Accessory,Pendant,8000,0.6,0.2,,,,,,Resist-Ice,,,,False,True,False,A necklace of pale crystal links that stay cold even in midsummer heat.
Invisibility Pendant,InvisibilityPendant,Accessory,Pendant,50000,0.1,0.2,,,,,,Invisible,,,,False,True,False,Makes the wearer invisible and harder to hit.
Levitation Pendant,LevitationPendant,Accessory,Pendant,30000,0.25,0.2,,,,,,Flying,,,,False,True,False,"Gives the wearer the ability to fly, making them harder to hit and immune to ground-based spells. The downfall is that Wind spells will hurt more."
Magic Pendant,MagicPendant,Accessory,Pendant,150000,0.01,0.2,,,,,,Magic Dodge,,,,False,True,False,An amulet that makes the wearer harder to hit with magic spells.
Pendant of Vision,VisionPendant,Accessory,Pendant,1200,0.9,0.2,,,,,,Vision,,,,False,True,False,A pendant that that gives information about the enemy.
Platinum Necklace,PlatinumNecklace,Accessory,Pendant,60000,0.1,0.2,,,,,,+50 Magic Damage,,,,False,True,False,A platinum-chained necklace that massively improves the wearer's magic damage.
Ribbon Pendant,RibbonPendant,Accessory,Pendant,150000,0.01,0,,,,,,Status-All,,,,False,True,False,"Forged from a rare mineral, this pendant provides the wearer with immunity from all negative status effects."
Ruby Locket,RubyLocket,Accessory,Pendant,1800,0.85,0.2,,,,,,+10 Magic Defense,,,,False,True,False,A ruby necklace that improves the wearer's magic defense.
Sapphire Locket,SapphireLocket,Accessory,Pendant,16000,0.5,0.2,,,,,,+20 Magic Defense,,,,False,True,False,A sapphire necklace that greatly improves the wearer's magic defense.
Silver Necklace,SilverNecklace,Accessory,Pendant,8000,0.75,0.2,,,,,,+10 Magic Damage,,,,False,True,False,A silver-chained necklace that improves the wearer's magic damage.
Water Amulet,WaterAmulet,Accessory,Pendant,40000,0.2,0.2,,,,,,Immune-Water,,,,False,True,False,An amulet with a deep blue gem that seems to ripple beneath its surface.
Water Chain,WaterChain,Accessory,Pendant,8000,0.6,0.2,,,,,,Resist-Water,,,,False,True,False,A necklace of blue-green links that beads with dew in dry air.
Wind Amulet,WindAmulet,Accessory,Pendant,40000,0.2,0.2,,,,,,Immune-Wind,,,,False,True,False,An amulet with a clear gem that feels almost weightless in the hand.
Wind Chain,WindChain,Accessory,Pendant,8000,0.6,0.2,,,,,,Resist-Wind,,,,False,True,False,A necklace of feather-light silver links that stir when no breeze is present.
Accuracy Ring,AccuracyRing,Accessory,Ring,25000,0.4,0.1,,,,,,Accuracy,,,,False,True,False,A ring that improves the wearer's weapon accuracy by 10%.
Barrier Ring,BarrierRing,Accessory,Ring,16000,0.5,0.1,,,,,,Block,,,,False,True,False,"A ring that increases the wearer's chance to block attacks by 25%, even without having a shield equipped."
Class Ring,ClassRing,Accessory,Ring,0,0,0.1,,,,,,Special,,,,False,True,False,A ring that changes depending on the wearer's specialty.
Evasion Ring,EvasionRing,Accessory,Ring,40000,0.2,0.1,,,,,,Dodge,,,,False,True,False,A ring that improves the wearer's chance to dodge.
Force Ring,ForceRing,Accessory,Ring,50000,0.1,0.1,,,,,,+50 Physical Damage,,,,False,True,False,A ring that massively improves the wearer's attack damage.
Iron Ring,IronRing,Accessory,Ring,2000,0.85,0.1,,,,,,+4 Physical Defense,,,,False,True,False,A ring that improves the wearer's defense.
Might Ring,MightRing,Accessory,Ring,24000,0.4,0.1,,,,,,+20 Physical Damage,,,,False,True,False,A ring that greatly improves the wearer's attack damage.
Power Ring,PowerRing,Accessory,Ring,5000,0.75,0.1,,,,,,+10 Physical Damage,,,,False,True,False,A ring that improves the wearer's attack damage.
Steel Ring,SteelRing,Accessory,Ring,20000,0.4,0.1,,,,,,+10 Physical Defense,,,,False,True,False,A ring that greatly improves the wearer's defense.
Titanium Ring,TitaniumRing,Accessory,Ring,45000,0.2,0.1,,,,,,+20 Physical Defense,,,,False,True,False,A ring that massively improves the wearer's defense.
