Name,Class ID,Type,Floors,Locations,Funhouse,Boss,HP Min,HP Max,MP Min,MP Max,Experience Min,Experience Max,Strength Min,Strength Max,Intelligence Min,Intelligence Max,Wisdom Min,Wisdom Max,Constitution Min,Constitution Max,Charisma Min,Charisma Max,Dexterity Min,Dexterity Max,Attack Min,Attack Max,Defense Min,Defense Max,Magic Min,Magic Max,Magic Defense Min,Magic Defense Max,Promotion Level,Spells,Skills,Equipment,Drops,Status Immunities,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance
Mind Flayer,MindFlayer,Aberration,5; 6,,False,False,215,310,190,190,890,1150,28,28,40,40,35,35,25,25,22,22,18,18,42,42,38,38,68,68,81,81,5,Corruption; Doom; Terrify,Mana Drain,Weapon: Mithrilshod Staff; Armor: Wizard's Robe,,Death,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.25,0.0,0.0
Sandworm,Sandworm,Monster,5,,False,False,260,330,211,211,910,1200,34,34,21,21,22,22,30,30,20,20,18,18,56,56,49,49,49,49,54,54,5,Earthquake; Sandstorm,Consume Item; Surface; Tunnel,Weapon: Earth Maw,Scrap Metal,Stone,0.0,0.0,0.5,-0.25,1,0.0,0.0,0.0,1,0.5
Shadow Serpent,ShadowSerpent,Elemental,5,,False,False,152,202,118,118,780,1090,28,28,18,18,15,15,22,22,16,16,23,23,46,46,41,41,46,46,40,40,5,Corruption,Double Strike,Weapon: Snake Fang; Armor: Snake Scales; OffHand: Snake Fang,Megalixir; Shadow Venom,,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-0.75,0.25,0.25
Storm Myrmidon,StormMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Shock,Piercing Strike; Shield Slam,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,0.0,0.0,1.5,-0.5,0.0,0.0,0.0,0.0,1,0.25
Unicorn,Unicorn,Fey,5,,False,False,119,145,192,192,440,575,28,28,27,27,32,32,27,27,34,34,28,28,38,38,40,40,47,47,46,46,5,Holy III; Regen III,Gore; Stomp,Weapon: Unicorn Horn; Armor: Animal Hide,,Poison,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,1.5,1.0,0.25
Warforged,Warforged,Construct,5,Realm of Cambion Terminal,False,False,263,333,140,140,880,1180,40,40,20,20,16,16,33,33,12,12,10,10,66,66,62,62,45,45,39,39,5,Silence,Crush,Weapon: attacks; Armor: Stone Armor; OffHand: Force Field,Scrap Metal,Poison; Death; Stone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
Water Myrmidon,WaterMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Water Jet,Parry; Shield Slam,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,0.0,0.0,-0.5,1.5,0.0,0.0,0.0,0.0,1,0.25
Wind Myrmidon,WindMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Gust,Double Strike; Shield Slam,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,0.0,0.0,0.0,0.0,-0.5,1.5,0.0,0.0,1,0.25
Wyrm,Wyrm,Dragon,5,,False,False,348,428,178,178,920,1180,38,38,28,28,30,30,28,28,22,22,23,23,62,62,53,53,55,55,59,59,5,Volcano,Dragon Breath (Fire); Triple Strike,Weapon: Dragon Tail; Armor: Dragon Scales,Dragon's Tear,Death; Stone,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.1
Wyvern,Wyvern,Dragon,5; 6,,False,False,350,440,183,183,950,1200,35,35,33,33,24,24,30,30,25,25,40,40,66,66,50,50,50,50,43,43,5,Tornado,Dragon Breath (Wind); Piercing Strike,Weapon: Dragon Claw; Armor: Dragon Scales; OffHand: Dragon Claw,Dragon's Tear,Death; Stone,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.1
