Race,Strength,Intelligence,Wisdom,Constitution,Charisma,Dexterity,Base Attack,Base Defense,Base Magic,Base Magic Defense,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance,Virtue,Virtue Effect,Sin,Sin Effect,Description,Stage,Available Class
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",First,Diviner
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",First,Ranger
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Second,Wizard
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Second,Knight Enchanter
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Second,Thaumaturgist
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Second,Rogue
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Second,Seeker
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Second,Ninja
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Second,Arcane Trickster
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Second,Archbishop
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Second,Troubadour
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Second,Archdruid
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Second,Astromancer
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Second,Beast Master
